id,name,category,price,label,rating,description,stock,created_at,sold_stok,discount,charms,details,is_charm_spreadable
1,Sparklore Bling Pin Bracelet Zircon 18k Gold Plated Titanium Waterproof - Gelang Bling Aura Lapis Emas 18k Anti Karat,bracelet,150,gold,4.5,"Gelang tangan Bling Pin menghadirkan keanggunan dengan batu zircon yang mengelilingi setengah gelang dan ditambah rantai pin yang membuat gelang ini classy tapi tetap dapat digunakan sehari-hari. Terbuat dari titanium anti karat, tahan air, dan tidak meninggalkan noda hijau pada kulit. Dibalut dengan emas 18K, aman untuk kulit sensitif, bebas alergi, dan nyaman dipakai sehari-hari. Cocok untuk menambah pesona elegan dalam setiap aktivitas.",20,2025-05-24 12:22:25.582743,10,0,0,"- Bahan : Gold : Batu Zircon & Titanium Lapis Emasi 18k - Gold Plated 18k & Silver : Batu Zircon & Titanium 
- Ukuran Produk/ Panjang Gelang : 14 + 5 cm",0
2,Sparklore Bling Pin Bracelet Zircon 18k Gold Plated Titanium Waterproof - Gelang Bling Aura Lapis Emas 18k Anti Karat,bracelet,120,silver,4.2,"Gelang tangan Bling Pin menghadirkan keanggunan dengan batu zircon yang mengelilingi setengah gelang dan ditambah rantai pin yang membuat gelang ini classy tapi tetap dapat digunakan sehari-hari. Terbuat dari titanium anti karat, tahan air, dan tidak meninggalkan noda hijau pada kulit. Dibalut dengan emas 18K, aman untuk kulit sensitif, bebas alergi, dan nyaman dipakai sehari-hari. Cocok untuk menambah pesona elegan dalam setiap aktivitas.",40,2025-05-24 12:23:20.630233,5,2,0,"- Bahan :  Gold : Batu Zircon & Titanium Lapis Emasi 18k - Gold Plated 18k & Silver : Batu Zircon & Titanium 
- Ukuran Produk/ Panjang Gelang : 14 + 5 cm",0
3,"""Sparklore Shoreline Shine Titanium Gold Plated 18k Necklace Waterproof - Kalung Shoreline Shine  Anti Karat Dolphine Zircon """,necklace,80,gold,4.8,"Kalung Shoreline Shine Sparklroe dengan desain double layer dan ekor lumba-luma yang manus, terbuat dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk acara formal maupun semiformal.",49,2025-05-24 12:26:34.858130,16,5,0,"- Bahan : Titanium Berlapis Emas 18k  + Batu Zircon
- Panjang Kalung : 40 + 6 cm",0
4,Sparklore Pink Bling Necklace Zircon 18k Gold Plated Titanium Waterproof,necklace,70,silver,4.1,"Kalung Pink Bling menghadirkan kalung trendy full zircon  dengan sentuhan  batu zircon pink berbentuk hati ditengah yang membuat kalung ini trendy tapi tetap elegan. Terbuat dari titanium anti karat, tahan air, dan tidak meninggalkan noda hijau pada kulit. Dibalut dengan emas 18K, aman untuk kulit sensitif, bebas alergi, dan nyaman dipakai sehari-hari. Cocok untuk menambah pesona elegan dalam setiap aktivitas.",58,2025-05-24 12:27:40.373540,8,0,0,"- Bahan : Gold : Batu Zircon & Titanium Lapis Emasi 18k - Gold Plated 18k  & Silver : Batu Zircon & Titanium 
- Ukuran Produk/ Panjang Kalung : 35 + 7 cm",0
5,Sparklore Leafia Ring Titanium Gold Plated 18k Waterproof - Cincin Leafia Lapis Emas 18k Anti Karat - Fashionable Jewelry Aksesoris Wanita High Quality SL06-033,ring,250,gold,4.4,"Cincin Leafia Sparklore dengan desain elegan dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, cincin ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk kegiatan sehari-hari maupun acara formal.",19,2025-05-24 12:28:52.547639,10,0,0,"- Bahan : Titanium Lapis Emas 18k (Waterproof, Anti karat & Anti Menghitam)
- Ukuran Produk : Adjustable / Bisa disesuaikan sendiri sesuai ukuran jari",0
6,Sparklore Mono Ring Silver Waterproof - Cincin Mono Sparklore Silver Anti Karat Stainless Steel - Fashionable Jewelry Aksesoris Wanita  SL06-035,ring,180,silver,4.8,"Cincin Mono Silver Sparklore dengan desain unik dan modern dari Stainless Steel anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Cincin ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan sehari-hari maupun untuk acara formal, menambahkan sentuhan elegan pada penampilanmu. Desain yang trendy membuat kesan stylish dan cool.",10,2025-05-24 12:29:40.932773,9,0,0,"- Bahan : Stainless Steel Silver (Waterproof, Anti karat & Anti Menghitam)
- Ukuran Produk : Adjustable / Bisa disesuaikan sendiri sesuai ukuran jari",0
7,Sparklore Paper Dangles Earrings Titanium Waterproof - Anting Paper Dangles Peniti Anti Karat SL07-023,earring,70,silver,4.0,"Anting Paper Dangles Sparklore dengan desain unik dan trendy berwarna silver terbuat dari Stainless Steel anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk acara formal maupun semiformal. Cocok untuk Anda yang suka memakai anting hoops dengan design unik.",57,2025-05-24 12:30:48.428342,10,0,0,- Bahan : Stainless Steel Waterproof,0
8,Sparklore Royal Tears Studs Earrings 18k Gold Plated Titanium Waterproof - Anting Royal Tears Sparklore Lapis Emas 18k Anti Karat - Fashionable Jewelry Aksesoris Wanita High Quality,earring,90,gold,4.8,"Anting Royal Tears Sparklroe dengan desain elegan dan unik, terbuat dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk acara formal maupun semiformal.",17,2025-05-24 12:31:35.232032,8,0,0,- Bahan : Titanium Berlapis Emas 18k,0
9,Sparklore Twilight Zircon Anklet Titanium Gold Plated 18k Waterproof - Gelang Kaki Twilight Zircon Titanium Sparklore Lapis Emas 18k Anti Karat,anklet,90,rose_gold,3.8,"Gelang Kaki  Twilight Zircon Sparklore dengan desain elegan dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan sehari-hari dalam berbagai aktivitas. Adanya batu zircon membuat kakimu terlihat lebih berkilau dan manis.",24,2025-05-24 12:32:17.253883,17,0,0,"- Bahan :  Batu Zircon & Titanium Lapis Emasi 18k - Gold Plated 18k  (Waterproof, Anti karat & Anti Menghitam)
- Ukuran Produk/Panjang Gelang Kaki : 20 + 5 cm",0
10,Sparklore Twilight Zircon Anklet Titanium Gold Plated 18k Waterproof - Gelang Kaki Twilight Zircon Titanium Sparklore Lapis Emas 18k Anti Karat,anklet,190,gold,4.3,"Gelang Kaki  Twilight Zircon Sparklore dengan desain elegan dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan sehari-hari dalam berbagai aktivitas. Adanya batu zircon membuat kakimu terlihat lebih berkilau dan manis.",19,2025-05-24 12:32:51.095127,9,0,0,"- Bahan :  Batu Zircon & Titanium Lapis Emasi 18k 
- Gold Plated 18k  (Waterproof, Anti karat & Anti Menghitam) -Ukuran Produk/Panjang Gelang Kaki : 20 + 5 cm",0
11,Sparklore LunaDot Custom Bracelet DIY Gold Plated 18k & Silver Waterproof,bracelet,98999,gold,4.0,"Rantai Sparklore Luna Dot dirancang untuk penggunaan sehari-hari maupun acara formal, dengan buletan kecil yang dapat dibuka sehingga kamu bisa menambahkan charm apasaja dan darimanasaja yang kamu inginkan. Charm dapat dipasang dan dilepas dengan mudah, memungkinkan penyesuaian charm sesuai kegiatan. Elegan dan fleksibel, sempurna untuk sentuhan personal pada setiap penampilan.

*Kami menyediakan 2 pilihan warna; Gołd & Silver*",22,2025-05-26 19:56:03.951431,34,0,1,"- Bahan Gold: Titanium dilapisi emas 18K (Waterproof, Anti karat & Anti Menghitam)
- Bahan Silver : Titanium (Waterproof, Anti karat & Anti Menghitam)
- Ukuran/Panjang Rantai/Gelang: Gelang serut Adjustable, bisa hingga 20 cm
- Berat: ≈5g",0
12,Sparklore LunaDot Custom Bracelet DIY Gold Plated 18k,bracelet,79999,silver,4.0,"Rantai Sparklore Luna Dot dirancang untuk penggunaan sehari-hari maupun acara formal, dengan buletan kecil yang dapat dibuka sehingga kamu bisa menambahkan charm apasaja dan darimanasaja yang kamu inginkan. Charm dapat dipasang dan dilepas dengan mudah, memungkinkan penyesuaian charm sesuai kegiatan. Elegan dan fleksibel, sempurna untuk sentuhan personal pada setiap penampilan.

*Kami menyediakan 2 pilihan warna; Gołd & Silver*",30,2025-05-26 19:57:01.795490,23,0,1,"- Bahan Gold: Titanium dilapisi emas 18K (Waterproof, Anti karat & Anti Menghitam)
- Bahan Silver : Titanium (Waterproof, Anti karat & Anti Menghitam)
- Ukuran/Panjang Rantai/Gelang: Gelang serut Adjustable, bisa hingga 20 cm
- Berat: ≈5g",0
13,Sparklore Luna Silver Bracelet Titanium DIY Charm Chain Custom,bracelet,79999,silver,5.0,"Gelang Luna Sparklore dirancang untuk penggunaan sehari-hari maupun acara formal, dengan lingkaran tengah yang memudahkan kamu menambahkan charm pilihan sesuai kepribadian. Charm dapat dipasang dan dilepas dengan mudah, memungkinkan penyesuaian gaya sesuai kegiatan. Elegan dan fleksibel, sempurna untuk sentuhan personal pada setiap penampilan.

*Kami menyediakan 2 pilihan rantai variasi Luna Pin & Luna Loop. Anda bisa memilih jenis rantai/ chain yang lebih cocok dengan style Anda*",23,2025-05-26 19:58:11.230182,12,0,1,"- Bahan: Titanium (Waterproof, Anti karat & Anti Menghitam)
- Ukuran/Panjang Rantai/Gelang: 14+5 cm
- Berat: ≈4g",0
14,Sparklore Luna Silver Bracelet Titanium DIY Charm Chain Custom,bracelet,79999,rose_gold,4.0,"Gelang Luna Sparklore dirancang untuk penggunaan sehari-hari maupun acara formal, dengan lingkaran tengah yang memudahkan kamu menambahkan charm pilihan sesuai kepribadian. Charm dapat dipasang dan dilepas dengan mudah, memungkinkan penyesuaian gaya sesuai kegiatan. Elegan dan fleksibel, sempurna untuk sentuhan personal pada setiap penampilan.

*Kami menyediakan 2 pilihan rantai variasi Luna Pin & Luna Loop. Anda bisa memilih jenis rantai/ chain yang lebih cocok dengan style Anda*",22,2025-05-26 19:58:52.677515,3,0,1,"- Bahan: Titanium (Waterproof, Anti karat & Anti Menghitam)
- Ukuran/Panjang Rantai/Gelang: 14+5 cm
- Berat: ≈4g",0
15,Sparklore Charm Link Custom Bracelet DIY Gold Plated 18k & Silver Waterproof,necklace,79999,silver,0.0,"Rantai Sparklore Charm Link dirancang untuk penggunaan sehari-hari maupun acara formal, dengan 4 Link / Pengait yang dapat dibuka sehingga kamu bisa menambahkan charm apasaja dan darimanasaja yang kamu inginkan. Charm dapat dipasang dan dilepas dengan mudah, memungkinkan penyesuaian charm sesuai kegiatan. Elegan dan fleksibel, sempurna untuk sentuhan personal pada setiap penampilan. 

*Kami menyediakan 2 pilihan warna; Gołd & Silver*",23,2025-05-26 20:00:30.196825,4,0,1,"- Bahan Gold: Titanium dilapisi emas 18K  (Waterproof, Anti karat & Anti Menghitam)
- Bahan Silver : Titanium  (Waterproof, Anti karat & Anti Menghitam)
- Ukuran/Panjang Rantai/Gelang: 16 + 5 cm ( Bisa dilepas jika kepanjangan )
- Berat: ≈5g",0
16,Jewel Set 1,jewel_set,135000,gold,5.0,Give yourself a set of jewels to boost your confidence!,32,2025-05-29 17:56:53.663858,32,0,0,"- Made with 100% love
- Crafted to boost your confidence",0